rank,character_tag,copyrights,post_count,recent_post_count,popularity_score,copyright_confidence,needs_review,notes
182,inkling_girl,splatoon_(series)|splatoon_3|pokemon|splatoon_1|super_smash_bros.,4043,457,0.563172,1.0,False,
183,sua_(alien_stage),alien_stage|chainsaw_man|genshin_impact|sanrio|project_sekai,3649,680,0.562777,1.0,False,
184,kagamine_len,vocaloid|project_sekai|utau|piapro_studio|ego_renegade_boy_(vocaloid),3485,782,0.562658,1.0,False,
185,kiana_kaslana,honkai_(series)|honkai_impact_3rd|honkai_gakuen|honkai:_star_rail|mihoyo,3221,957,0.56246,1.0,False,
186,elysia_(herrscher_of_human:_ego)_(honkai_impact),honkai_(series)|honkai_impact_3rd|honkai:_star_rail|mihoyo|zenless_zone_zero,3486,774,0.562447,1.0,False,
187,gawr_gura,hololive|hololive_english|indie_virtual_youtuber|xenoluxe|reflect_(gawr_gura),3874,513,0.56195,1.0,False,
188,takamatsu_tomori,bang_dream!|bang_dream!_it's_mygo!!!!!|bang_dream!_girls_band_party!|link!_like!_love_live!|love_live!,3681,616,0.56152,1.0,False,
189,koseki_bijou,hololive|hololive_english|hololive_indonesia|hololive_dev_is|monster_hunter_(series),3052,975,0.559408,1.0,False,
190,aemeath_(wuthering_waves),wuthering_waves|honkai:_star_rail|honkai_(series)|blade_runner_(series)|blade_runner_2049,1977,1977,0.559396,1.0,False,
191,endministrator_(arknights),arknights|arknights:_endfield|hololive|hololive_english|honkai:_star_rail,2049,1891,0.559297,1.0,False,
192,mari_(omori),omori|utdr_(toby_fox)|pokemon|undertale|yume_nikki,3090,929,0.558908,1.0,False,
193,yae_miko,genshin_impact|honkai_(series)|mihoyo|honkai:_star_rail|honkai_impact_3rd,3213,811,0.558109,1.0,False,
194,ijichi_nijika,bocchi_the_rock!|vocaloid|umamusume|chainsaw_man|pokemon,3405,671,0.557937,1.0,False,
195,saber_(fate),fate_(series)|fate/stay_night|fate/grand_order|honkai_(series)|honkai:_star_rail,3203,806,0.557759,1.0,False,
196,mizi_(alien_stage),alien_stage|chainsaw_man|the_amazing_digital_circus|sanrio|real_life,3485,611,0.557754,1.0,False,
197,aria_(zenless_zone_zero),zenless_zone_zero|sanrio|my_melody_(series)|fuwa_fuwa_cinnamoroll|hello_kitty,1970,1911,0.557268,1.0,False,
198,sephiroth,final_fantasy|final_fantasy_vii|final_fantasy_vii:_ever_crisis|final_fantasy_vii_remake|crisis_core:_final_fantasy_vii,3476,587,0.556894,1.0,False,
199,hu_tao_(genshin_impact),genshin_impact|mihoyo|zenless_zone_zero|honkai_(series)|honkai:_star_rail,3238,748,0.556815,1.0,False,
200,kris_(deltarune),utdr_(toby_fox)|deltarune|undertale|omori|the_amazing_digital_circus,3159,797,0.556585,1.0,False,
